#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-11 13:54:09.228

Time (s),C1 (V)
0,-0.1146069316212525
0.1,-0.1126038029920604
0.2,-0.1146069316212525
0.3,-0.1152746411643166
0.4,-0.1152746411643166
0.5,-0.1146069316212525
0.6000000000000001,-0.1179454793365727
0.7000000000000001,-0.1122699482205284
0.8,-0.1146069316212525
0.9,-0.1159423507073806
1,-0.1149407863927845
1.1,-0.1149407863927845
1.2,-0.1122699482205284
1.3,-0.1089314005052082
1.4,-0.1106006743628683
1.5,-0.1085975457336762
1.6,-0.1099329648198043
1.7,-0.1116022386774644
1.8,-0.1102668195913363
1.9,-0.1065944171044841
2,-0.1079298361906122
2.1,-0.1092652552767402
2.2,-0.1065944171044841
2.3,-0.1065944171044841
2.4,-0.1065944171044841
2.5,-0.1085975457336762
2.6,-0.1099329648198043
2.7,-0.1089314005052082
2.8,-0.1095991100482722
2.9,-0.1099329648198043
3,-0.1085975457336762
3.1,-0.1109345291344003
3.2,-0.1099329648198043
3.3,-0.1109345291344003
3.4,-0.1085975457336762
3.5,-0.1079298361906122
3.6,-0.1065944171044841
3.7,-0.1089314005052082
3.8,-0.1099329648198043
3.9,-0.1075959814190801
4,-0.1095991100482722
4.100000000000001,-0.1106006743628683
4.2,-0.1065944171044841
4.3,-0.1119360934489964
4.4,-0.1102668195913363
4.5,-0.1116022386774644
4.600000000000001,-0.1085975457336762
4.7,-0.1106006743628683
4.800000000000001,-0.1089314005052082
4.9,-0.1099329648198043
5,-0.1119360934489964
5.100000000000001,-0.1099329648198043
5.2,-0.1095991100482722
5.300000000000001,-0.1089314005052082
5.4,-0.1079298361906122
5.5,-0.1089314005052082
5.600000000000001,-0.1085975457336762
5.7,-0.1099329648198043
5.800000000000001,-0.1089314005052082
5.9,-0.1099329648198043
6,-0.1089314005052082
6.100000000000001,-0.1095991100482722
6.2,-0.1092652552767402
6.300000000000001,-0.1122699482205284
6.4,-0.1092652552767402
6.5,-0.1072621266475481
6.600000000000001,-0.1079298361906122
6.7,-0.1075959814190801
6.800000000000001,-0.1075959814190801
6.9,-0.1099329648198043
7,-0.1102668195913363
7.100000000000001,-0.1119360934489964
7.2,-0.1089314005052082
7.300000000000001,-0.105592852789888
7.4,-0.1095991100482722
7.5,-0.1089314005052082
7.600000000000001,-0.1082636909621442
7.7,-0.1106006743628683
7.800000000000001,-0.1109345291344003
7.9,-0.1102668195913363
8,-0.1116022386774644
8.1,-0.1089314005052082
8.200000000000001,-0.1095991100482722
8.300000000000001,-0.1085975457336762
8.4,-0.1095991100482722
8.5,-0.1106006743628683
8.6,-0.1122699482205284
8.700000000000001,-0.1099329648198043
8.800000000000001,-0.1089314005052082
8.9,-0.1109345291344003
9,-0.1092652552767402
9.1,-0.1112683839059323
9.200000000000001,-0.1149407863927845
9.300000000000001,-0.1139392220781885
9.4,-0.1132715125351245
9.5,-0.1122699482205284
9.600000000000001,-0.1146069316212525
9.700000000000001,-0.1136053673066565
9.800000000000001,-0.1106006743628683
9.9,-0.1126038029920604
10,-0.1126038029920604
