#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-11 13:46:26.815

Time (s),C1 (V)
0,-0.1620143091787992
0.1,-0.1630158734933952
0.2,-0.1646851473510554
0.3,-0.1636835830364593
0.4,-0.1653528568941194
0.5,-0.1660205664371834
0.6000000000000001,-0.1676898402948435
0.7000000000000001,-0.1663544212087154
0.8,-0.1676898402948435
0.9,-0.1646851473510554
1,-0.1626820187218632
1.1,-0.1656867116656514
1.2,-0.1633497282649273
1.3,-0.1650190021225874
1.4,-0.1650190021225874
1.5,-0.1620143091787992
1.6,-0.1626820187218632
1.7,-0.1603450353211391
1.8,-0.1606788900926711
1.9,-0.1600111805496071
2,-0.158341906691947
2.1,-0.158675761463479
2.2,-0.1570064876058189
2.3,-0.1600111805496071
2.4,-0.158008051920415
2.5,-0.1563387780627549
2.6,-0.1556710685196908
2.7,-0.1533340851189667
2.8,-0.1550033589766268
2.9,-0.1526663755759027
3,-0.1519986660328386
3.1,-0.1540017946620307
3.2,-0.1526663755759027
3.3,-0.1523325208043707
3.4,-0.1546695042050948
3.5,-0.1519986660328386
3.6,-0.1540017946620307
3.7,-0.1543356494335628
3.8,-0.1556710685196908
3.9,-0.1563387780627549
4,-0.1560049232912229
4.100000000000001,-0.158675761463479
4.2,-0.1563387780627549
4.3,-0.158008051920415
4.4,-0.1576741971488829
4.5,-0.1560049232912229
4.600000000000001,-0.1556710685196908
4.7,-0.1560049232912229
4.800000000000001,-0.158008051920415
4.9,-0.1600111805496071
5,-0.1570064876058189
