#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-11 11:39:08.482

Time (s),C1 (V)
0,0.250630188434776
0.1,0.250964043206308
0.2,0.2469577859479238
0.3,0.250964043206308
0.4,0.2486270598055839
0.5,0.252299462292436
0.6000000000000001,0.2529671718355001
0.7000000000000001,0.2496286241201799
0.8,0.2556380100077563
0.9,0.251965607520904
1,0.2492947693486479
1.1,0.2499624788917119
1.2,0.2492947693486479
1.3,0.2526333170639681
1.4,0.2553041552362242
1.5,0.250964043206308
1.6,0.2496286241201799
1.7,0.2482932050340518
1.8,0.2469577859479238
1.9,0.252299462292436
2,0.250964043206308
2.1,0.2533010266070321
2.2,0.2526333170639681
2.3,0.2526333170639681
2.4,0.2529671718355001
2.5,0.2499624788917119
2.6,0.2489609145771159
2.7,0.2479593502625198
2.8,0.2482932050340518
2.9,0.252299462292436
3,0.2486270598055839
3.1,0.250964043206308
3.2,0.2496286241201799
3.3,0.2466239311763918
3.4,0.2482932050340518
3.5,0.2499624788917119
3.6,0.2502963336632439
3.7,0.2432853834610716
3.8,0.2479593502625198
3.9,0.2479593502625198
4,0.2489609145771159
4.100000000000001,0.2476254954909878
4.2,0.2462900764048597
4.3,0.2402806905172834
4.4,0.2439530930041356
4.5,0.2459562216333277
4.600000000000001,0.2422838191464755
4.7,0.2436192382326036
4.800000000000001,0.2402806905172834
4.9,0.2356067237158351
5,0.2349390141727711
5.100000000000001,0.2376098523450272
5.2,0.2299311925997908
5.300000000000001,0.2262587901129386
5.4,0.2222525328545544
5.5,0.2212509685399583
5.600000000000001,0.2185801303677022
5.7,0.2172447112815741
5.800000000000001,0.2179124208246381
5.9,0.2192478399107662
6,0.2192478399107662
6.100000000000001,0.2192478399107662
6.2,0.2185801303677022
6.300000000000001,0.2192478399107662
6.4,0.2202494042253623
6.5,0.215909292195446
6.600000000000001,0.2172447112815741
6.7,0.2182462755961702
6.800000000000001,0.2185801303677022
6.9,0.2135723087947219
7,0.2219186780830223
7.100000000000001,0.2219186780830223
7.2,0.2209171137684263
7.300000000000001,0.2222525328545544
7.4,0.2232540971691504
7.5,0.2225863876260864
7.600000000000001,0.2255910805698746
7.7,0.2312666116859189
7.800000000000001,0.2292634830567268
7.9,0.2289296282851948
8,0.232602030772047
8.1,0.2359405784873671
8.200000000000001,0.2376098523450272
8.300000000000001,0.2352728689443031
8.4,0.2386114166596233
8.5,0.2386114166596233
8.6,0.2386114166596233
8.700000000000001,0.2396129809742193
8.800000000000001,0.2376098523450272
8.9,0.2419499643749435
9,0.2406145452888154
9.1,0.2409484000603474
9.200000000000001,0.2396129809742193
9.300000000000001,0.2436192382326036
9.4,0.2382775618880913
9.5,0.2359405784873671
9.600000000000001,0.2379437071165593
9.700000000000001,0.2419499643749435
9.800000000000001,0.2452885120902637
9.9,0.2396129809742193
10,0.2396129809742193
