#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-18 11:44:11.403

Time (s),C1 (V)
0,-0.265843143125257
0.1,-0.2688478360690452
0.2,-0.2675124169829171
0.3,-0.2665108526683211
0.4,-0.265175433582193
0.5,-0.2671785622113851
0.6000000000000001,-0.2668447074398531
0.7000000000000001,-0.2678462717544491
0.8,-0.2685139812975132
0.9,-0.2648415788106609
1,-0.2695155456121092
1.1,-0.265843143125257
1.2,-0.2661769978967891
1.3,-0.2668447074398531
1.4,-0.265843143125257
1.5,-0.2681801265259812
1.6,-0.2681801265259812
1.7,-0.2681801265259812
1.8,-0.2668447074398531
1.9,-0.2701832551551733
2,-0.2691816908405772
2.1,-0.2668447074398531
2.2,-0.2688478360690452
2.3,-0.2668447074398531
2.4,-0.2681801265259812
2.5,-0.2675124169829171
2.6,-0.2668447074398531
2.7,-0.2671785622113851
2.8,-0.2735218028704934
2.9,-0.2661769978967891
3,-0.2665108526683211
3.1,-0.2665108526683211
3.2,-0.2678462717544491
3.3,-0.2661769978967891
3.4,-0.2645077240391289
3.5,-0.2665108526683211
3.6,-0.2681801265259812
3.7,-0.2648415788106609
3.8,-0.2685139812975132
3.9,-0.2681801265259812
4,-0.2668447074398531
4.100000000000001,-0.2648415788106609
4.2,-0.2671785622113851
4.3,-0.2675124169829171
4.4,-0.2675124169829171
4.5,-0.2645077240391289
4.600000000000001,-0.2648415788106609
4.7,-0.2568290642938925
4.800000000000001,-0.2678462717544491
4.9,-0.2678462717544491
5,-0.265509288353725
5.100000000000001,-0.2701832551551733
5.2,-0.265175433582193
5.300000000000001,-0.265175433582193
5.4,-0.2648415788106609
5.5,-0.2665108526683211
5.600000000000001,-0.2678462717544491
5.7,-0.265843143125257
5.800000000000001,-0.2668447074398531
5.9,-0.2648415788106609
6,-0.265843143125257
6.100000000000001,-0.2691816908405772
6.2,-0.265509288353725
6.300000000000001,-0.2665108526683211
6.4,-0.2685139812975132
6.5,-0.2688478360690452
6.600000000000001,-0.2671785622113851
6.7,-0.2688478360690452
6.800000000000001,-0.2725202385558974
6.9,-0.2705171099267053
7,-0.2718525290128334
7.100000000000001,-0.2701832551551733
7.2,-0.2681801265259812
7.300000000000001,-0.2681801265259812
7.4,-0.2701832551551733
7.5,-0.2705171099267053
7.600000000000001,-0.2685139812975132
7.7,-0.2695155456121092
7.800000000000001,-0.2695155456121092
7.9,-0.2685139812975132
8,-0.2728540933274294
8.1,-0.2668447074398531
8.200000000000001,-0.2681801265259812
8.300000000000001,-0.2691816908405772
8.4,-0.2698494003836412
8.5,-0.2698494003836412
8.6,-0.2705171099267053
8.700000000000001,-0.2695155456121092
8.800000000000001,-0.2718525290128334
8.9,-0.2715186742413013
9,-0.2701832551551733
9.1,-0.2705171099267053
9.200000000000001,-0.2705171099267053
9.300000000000001,-0.2711848194697693
9.4,-0.2698494003836412
9.5,-0.2668447074398531
9.600000000000001,-0.2681801265259812
9.700000000000001,-0.2678462717544491
9.800000000000001,-0.2638400144960649
9.9,-0.2638400144960649
10,-0.2685139812975132
