#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-11 13:35:00.165

Time (s),C1 (V)
0,-0.2040800103918335
0.1,-0.2064169937925577
0.2,-0.2057492842494937
0.3,-0.2077524128786858
0.4,-0.2067508485640897
0.5,-0.2067508485640897
0.6000000000000001,-0.2064169937925577
0.7000000000000001,-0.2050815747064296
0.8,-0.2054154294779616
0.9,-0.2067508485640897
1,-0.2040800103918335
1.1,-0.2060831390210257
1.2,-0.2054154294779616
1.3,-0.2074185581071537
1.4,-0.2060831390210257
1.5,-0.2067508485640897
1.6,-0.2004076079049814
1.7,-0.194398222017405
1.8,-0.1917273838451489
1.9,-0.1863857075006366
2,-0.1823794502422523
2.1,-0.1820455954707203
2.2,-0.1783731929838681
2.3,-0.1780393382123361
2.4,-0.1773716286692721
2.5,-0.1783731929838681
2.6,-0.1757023548116119
2.7,-0.1793747572984642
2.8,-0.1773716286692721
2.9,-0.1797086120699962
3,-0.1783731929838681
3.1,-0.1773716286692721
3.2,-0.1873872718152326
3.3,-0.1803763216130602
3.4,-0.1773716286692721
3.5,-0.1773716286692721
3.6,-0.176703919126208
3.7,-0.176703919126208
3.8,-0.1777054834408041
3.9,-0.1787070477554001
4,-0.1800424668415282
4.100000000000001,-0.1790409025269321
4.2,-0.1793747572984642
4.3,-0.1753685000400799
4.4,-0.1777054834408041
4.5,-0.1807101763845922
4.600000000000001,-0.1777054834408041
4.7,-0.17703777389774
4.800000000000001,-0.1780393382123361
4.9,-0.1743669357254839
5,-0.176370064354676
5.100000000000001,-0.1780393382123361
5.2,-0.1787070477554001
5.300000000000001,-0.1783731929838681
5.4,-0.1773716286692721
5.5,-0.1777054834408041
5.600000000000001,-0.176370064354676
5.7,-0.1783731929838681
5.800000000000001,-0.1803763216130602
5.9,-0.1773716286692721
6,-0.1787070477554001
6.100000000000001,-0.1773716286692721
6.2,-0.176036209583144
6.300000000000001,-0.1790409025269321
6.4,-0.1787070477554001
6.5,-0.1777054834408041
6.600000000000001,-0.1783731929838681
6.7,-0.1773716286692721
6.800000000000001,-0.1780393382123361
6.9,-0.1793747572984642
7,-0.1790409025269321
7.100000000000001,-0.1787070477554001
7.2,-0.1773716286692721
7.300000000000001,-0.176703919126208
7.4,-0.1777054834408041
7.5,-0.1793747572984642
7.600000000000001,-0.1817117406991883
7.7,-0.1750346452685479
7.800000000000001,-0.1863857075006366
7.9,-0.1867195622721686
8,-0.1903919647590208
8.1,-0.1964013506465971
8.200000000000001,-0.1974029149611932
8.300000000000001,-0.1990721888188533
8.4,-0.2050815747064296
8.5,-0.2044138651633656
8.6,-0.2070847033356217
8.700000000000001,-0.2097555415078779
8.800000000000001,-0.2097555415078779
8.9,-0.2097555415078779
9,-0.2070847033356217
9.1,-0.2104232510509419
9.200000000000001,-0.2087539771932818
9.300000000000001,-0.2087539771932818
9.4,-0.2067508485640897
9.5,-0.2074185581071537
9.600000000000001,-0.2060831390210257
9.700000000000001,-0.2074185581071537
9.800000000000001,-0.2074185581071537
9.9,-0.2084201224217498
10,-0.2060831390210257
