#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-16 11:49:18.404

Time (s),C1 (V)
0,-0.1116022386774644
0.1,-0.1109345291344003
0.2,-0.1106006743628683
0.3,-0.1109345291344003
0.4,-0.1109345291344003
0.5,-0.1099329648198043
0.6000000000000001,-0.1082636909621442
0.7000000000000001,-0.1119360934489964
0.8,-0.1129376577635924
0.9,-0.1136053673066565
1,-0.1126038029920604
1.1,-0.1102668195913363
1.2,-0.1122699482205284
1.3,-0.1122699482205284
1.4,-0.1112683839059323
1.5,-0.1112683839059323
1.6,-0.1119360934489964
1.7,-0.1129376577635924
1.8,-0.1129376577635924
1.9,-0.1119360934489964
2,-0.1142730768497205
2.1,-0.1112683839059323
2.2,-0.1136053673066565
2.3,-0.1119360934489964
2.4,-0.1146069316212525
2.5,-0.1129376577635924
2.6,-0.1126038029920604
2.7,-0.1122699482205284
2.8,-0.1129376577635924
2.9,-0.1132715125351245
3,-0.1126038029920604
3.1,-0.1116022386774644
3.2,-0.1126038029920604
3.3,-0.1142730768497205
3.4,-0.1136053673066565
3.5,-0.1146069316212525
3.6,-0.1139392220781885
3.7,-0.1136053673066565
3.8,-0.1126038029920604
3.9,-0.1116022386774644
4,-0.1162762054789126
4.100000000000001,-0.1119360934489964
4.2,-0.1132715125351245
4.3,-0.1136053673066565
4.4,-0.1139392220781885
4.5,-0.1132715125351245
4.600000000000001,-0.1152746411643166
4.7,-0.1166100602504446
4.800000000000001,-0.1132715125351245
4.9,-0.1139392220781885
5,-0.1142730768497205
5.100000000000001,-0.1162762054789126
5.2,-0.1146069316212525
5.300000000000001,-0.1169439150219767
5.4,-0.1142730768497205
5.5,-0.1126038029920604
5.600000000000001,-0.1146069316212525
5.7,-0.1156084959358486
5.800000000000001,-0.1146069316212525
5.9,-0.1156084959358486
6,-0.1126038029920604
6.100000000000001,-0.1149407863927845
6.2,-0.1129376577635924
6.300000000000001,-0.1142730768497205
6.4,-0.1132715125351245
6.5,-0.1166100602504446
6.600000000000001,-0.1162762054789126
6.7,-0.1159423507073806
6.800000000000001,-0.1162762054789126
6.9,-0.1149407863927845
7,-0.1169439150219767
7.100000000000001,-0.1156084959358486
7.2,-0.1186131888796368
7.300000000000001,-0.1129376577635924
7.4,-0.1172777697935087
7.5,-0.1169439150219767
7.600000000000001,-0.1149407863927845
7.7,-0.1159423507073806
7.800000000000001,-0.1162762054789126
7.9,-0.1129376577635924
8,-0.1152746411643166
8.1,-0.1122699482205284
8.200000000000001,-0.1129376577635924
8.300000000000001,-0.1166100602504446
8.4,-0.1146069316212525
8.5,-0.1152746411643166
8.6,-0.1152746411643166
8.700000000000001,-0.1132715125351245
8.800000000000001,-0.1136053673066565
8.9,-0.1136053673066565
9,-0.1152746411643166
9.1,-0.1152746411643166
9.200000000000001,-0.1146069316212525
9.300000000000001,-0.1199486079657648
9.4,-0.1142730768497205
9.5,-0.1156084959358486
9.600000000000001,-0.1149407863927845
9.700000000000001,-0.1146069316212525
9.800000000000001,-0.1246225747672131
9.9,-0.123621010452617
10,-0.1242887199956811
