#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-16 12:02:11.482

Time (s),C1 (V)
0,0.09872626738770744
0.1,0.1017309603314956
0.2,0.1017309603314956
0.3,0.1020648151030276
0.4,0.09839241261617543
0.5,0.1017309603314956
0.6000000000000001,0.1020648151030276
0.7000000000000001,0.1044017985037518
0.8,0.1010632507884316
0.9,0.09906012215923946
1,0.09739084830157937
1.1,0.09538771967238725
1.2,0.1010632507884316
1.3,0.09505386490085524
1.4,0.09538771967238725
1.5,0.09405230058625919
1.6,0.09739084830157937
1.7,0.09104760764247101
1.8,0.09772470307311139
1.9,0.09104760764247101
2,0.08971218855634294
2.1,0.08871062424174687
2.2,0.0890444790132789
2.3,0.08937833378481091
2.4,0.0890444790132789
2.5,0.09004604332787496
2.6,0.09004604332787496
2.7,0.0890444790132789
2.8,0.09104760764247101
2.9,0.08971218855634294
3,0.09638928398698331
3.1,0.08971218855634294
3.2,0.09037989809940697
3.3,0.08837676947021486
3.4,0.08971218855634294
3.5,0.08837676947021486
3.6,0.09104760764247101
3.7,0.090713752870939
3.8,0.09037989809940697
3.9,0.08837676947021486
4,0.09004604332787496
4.100000000000001,0.08937833378481091
4.2,0.08971218855634294
4.3,0.09104760764247101
4.4,0.08937833378481091
4.5,0.09138146241400304
4.600000000000001,0.08937833378481091
4.7,0.08737520515561881
4.800000000000001,0.08937833378481091
4.9,0.0943861553577912
5,0.09572157444391928
5.100000000000001,0.090713752870939
5.2,0.09338459104319514
5.300000000000001,0.08971218855634294
5.4,0.0890444790132789
5.5,0.08937833378481091
5.600000000000001,0.08971218855634294
5.7,0.08937833378481091
5.800000000000001,0.09037989809940697
5.9,0.08971218855634294
6,0.08937833378481091
6.100000000000001,0.08871062424174687
6.2,0.09004604332787496
6.300000000000001,0.08971218855634294
6.4,0.0890444790132789
6.5,0.090713752870939
6.600000000000001,0.08871062424174687
6.7,0.08837676947021486
6.800000000000001,0.08670749561255477
6.9,0.09037989809940697
7,0.08871062424174687
7.100000000000001,0.09004604332787496
7.2,0.08670749561255477
7.300000000000001,0.08837676947021486
7.4,0.08937833378481091
7.5,0.0980585578446434
7.600000000000001,0.08871062424174687
7.7,0.08804291469868285
7.800000000000001,0.09739084830157937
7.9,0.08837676947021486
8,0.09171531718553505
8.1,0.09204917195706706
8.200000000000001,0.09004604332787496
8.300000000000001,0.09338459104319514
8.4,0.08971218855634294
8.5,0.09004604332787496
8.6,0.09004604332787496
8.700000000000001,0.09004604332787496
8.800000000000001,0.08937833378481091
8.9,0.08871062424174687
9,0.0890444790132789
9.1,0.090713752870939
9.200000000000001,0.0890444790132789
9.300000000000001,0.08804291469868285
9.4,0.0890444790132789
9.5,0.08770905992715082
9.600000000000001,0.0890444790132789
9.700000000000001,0.08804291469868285
9.800000000000001,0.08637364084102275
9.9,0.08837676947021486
10,0.0890444790132789
