#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-11 14:25:22.041

Time (s),C1 (V)
0,-0.08856625944175507
0.1,-0.08823240467022306
0.2,-0.08923396898481911
0.3,-0.08956782375635113
0.4,-0.08956782375635113
0.5,-0.08656313081256296
0.6000000000000001,-0.08890011421328708
0.7000000000000001,-0.09056938807094718
0.8,-0.09056938807094718
0.9,-0.08956782375635113
1,-0.08823240467022306
1.1,-0.08789854989869103
1.2,-0.08756469512715902
1.3,-0.08990167852788314
1.4,-0.09023553329941517
1.5,-0.08923396898481911
1.6,-0.09023553329941517
1.7,-0.08890011421328708
1.8,-0.09123709761401122
1.9,-0.09123709761401122
2,-0.09090324284247921
2.1,-0.09157095238554323
2.2,-0.09090324284247921
2.3,-0.09090324284247921
2.4,-0.09324022624320333
2.5,-0.09457564532933141
2.6,-0.09490950010086342
2.7,-0.09490950010086342
2.8,-0.09357408101473536
2.9,-0.09490950010086342
3,-0.09357408101473536
3.1,-0.09157095238554323
3.2,-0.0962449191869915
3.3,-0.09591106441545948
3.4,-0.09758033827311957
3.5,-0.09490950010086342
3.6,-0.09524335487239545
3.7,-0.09357408101473536
3.8,-0.09691262873005554
3.9,-0.09724648350158756
4,-0.09557720964392746
4.100000000000001,-0.09758033827311957
4.2,-0.0962449191869915
4.3,-0.09524335487239545
4.4,-0.09557720964392746
4.5,-0.09557720964392746
4.600000000000001,-0.0962449191869915
4.7,-0.09591106441545948
4.800000000000001,-0.09490950010086342
4.9,-0.09557720964392746
5,-0.09724648350158756
5.100000000000001,-0.09557720964392746
5.2,-0.0962449191869915
5.300000000000001,-0.09858190258771564
5.4,-0.09524335487239545
5.5,-0.09490950010086342
5.600000000000001,-0.09524335487239545
5.7,-0.0979141930446516
5.800000000000001,-0.0962449191869915
5.9,-0.09657877395852352
6,-0.09758033827311957
6.100000000000001,-0.09557720964392746
6.2,-0.09691262873005554
6.300000000000001,-0.09390793578626737
6.4,-0.09223866192860727
6.5,-0.09357408101473536
6.600000000000001,-0.09090324284247921
6.7,-0.09357408101473536
6.800000000000001,-0.09090324284247921
6.9,-0.09123709761401122
7,-0.09123709761401122
7.100000000000001,-0.09157095238554323
7.2,-0.09056938807094718
7.300000000000001,-0.08956782375635113
7.4,-0.08923396898481911
7.5,-0.09023553329941517
7.600000000000001,-0.09056938807094718
7.7,-0.09090324284247921
7.800000000000001,-0.09023553329941517
7.9,-0.09056938807094718
8,-0.09056938807094718
8.1,-0.09090324284247921
8.200000000000001,-0.09023553329941517
8.300000000000001,-0.09090324284247921
8.4,-0.09390793578626737
8.5,-0.09290637147167131
8.6,-0.0925725167001393
8.700000000000001,-0.09056938807094718
8.800000000000001,-0.09056938807094718
8.9,-0.09324022624320333
9,-0.08756469512715902
9.1,-0.08856625944175507
9.200000000000001,-0.08489385695490287
9.300000000000001,-0.08622927604103094
9.4,-0.0855615664979669
9.5,-0.08522771172643488
9.600000000000001,-0.0855615664979669
9.700000000000001,-0.08589542126949892
9.800000000000001,-0.08589542126949892
9.9,-0.08890011421328708
10,-0.08723084035562699
