#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D90F
#Date Time: 2025-12-11 13:44:56.306

Time (s),C1 (V)
0,-0.08088759969651864
0.1,-0.07688134243813441
0.2,-0.08355843786877479
0.3,-0.08155530923958268
0.4,-0.07988603538192258
0.5,-0.08422614741183883
0.6000000000000001,-0.08489385695490287
0.7000000000000001,-0.08255687355417873
0.8,-0.08222301878264672
0.9,-0.0838922926403068
1,-0.08222301878264672
1.1,-0.08122145446805065
1.2,-0.08255687355417873
1.3,-0.08222301878264672
1.4,-0.08188916401111469
1.5,-0.08289072832571075
1.6,-0.0802198901534546
1.7,-0.0838922926403068
1.8,-0.08322458309724277
1.9,-0.08289072832571075
2,-0.08122145446805065
2.1,-0.08222301878264672
2.2,-0.08489385695490287
2.3,-0.08355843786877479
2.4,-0.08289072832571075
2.5,-0.08489385695490287
2.6,-0.08456000218337084
2.7,-0.0855615664979669
2.8,-0.08689698558409498
2.9,-0.08789854989869103
3,-0.09123709761401122
3.1,-0.08789854989869103
3.2,-0.08823240467022306
3.3,-0.08756469512715902
3.4,-0.08789854989869103
3.5,-0.08823240467022306
3.6,-0.08956782375635113
3.7,-0.08923396898481911
3.8,-0.08956782375635113
3.9,-0.08823240467022306
4,-0.08856625944175507
4.100000000000001,-0.08923396898481911
4.2,-0.08823240467022306
4.3,-0.08923396898481911
4.4,-0.08656313081256296
4.5,-0.08956782375635113
4.600000000000001,-0.08856625944175507
4.7,-0.08823240467022306
4.800000000000001,-0.08522771172643488
4.9,-0.08723084035562699
5,-0.0855615664979669
